
 Johansen Trace Test Critical Values
Replications, Sample Size       rep     n
[1,] 1e+06 10000

Case 2: Constrained intercept
        [,1]  [,2] [,3] [,4]  [,5]  [,6]  [,7] [,8] [,9] [,10] [,11] [,12]
99.99% 22.38 37.27 55.7 78.5 104.6 135.1 169.3  208  250   296   347   402
99.9%  17.64 31.47 48.8 70.1  95.7 125.0 158.4  196  237   282   332   385
99%    12.75 25.10 41.3 61.3  85.4 113.4 145.5  182  222   266   314   366
98%    11.27 23.08 38.7 58.4  81.9 109.5 141.1  177  216   260   308   359
97%    10.36 21.86 37.2 56.5  79.8 107.1 138.4  174  213   256   304   355
96%     9.71 20.98 36.1 55.2  78.3 105.3 136.4  171  210   254   301   352
95%     9.19 20.28 35.2 54.1  77.0 103.9 134.8  170  208   251   298   349
93%     8.42 19.20 33.8 52.5  75.0 101.6 132.2  167  205   248   295   345
90%     7.57 18.00 32.3 50.6  72.8  99.0 129.3  163  202   244   290   341
85%     6.60 16.58 30.4 48.3  70.1  95.9 125.7  159  197   239   285   335
80%     5.89 15.50 29.0 46.5  67.9  93.4 122.9  156  194   235   281   330
70%     4.86 13.86 26.8 43.7  64.6  89.5 118.5  151  188   229   274   323
50%     3.45 11.44 23.4 39.4  59.4  83.4 111.4  143  179   219   263   312
30%     2.39  9.39 20.4 35.5  54.6  77.6 104.7  136  171   210   253   300
10%     1.35  6.96 16.7 30.4  48.1  69.9  95.7  125  159   197   239   285

Case 3: Intercept
        [,1]  [,2] [,3] [,4] [,5]  [,6]  [,7] [,8] [,9] [,10] [,11] [,12]
99.99% 15.16 31.45 49.0 71.0 96.9 125.1 158.8  196  238   283   333   386
99.9%  10.80 25.84 42.8 63.3 87.7 115.9 148.1  185  225   269   318   370
99%     6.63 19.95 35.5 54.7 77.9 104.9 136.0  171  210   253   300   351
98%     5.42 18.08 33.2 51.9 74.5 101.2 131.8  166  205   247   294   345
97%     4.72 16.95 31.7 50.2 72.5  98.9 129.1  163  202   244   290   341
96%     4.23 16.15 30.7 48.9 71.0  97.1 127.2  161  199   241   288   338
95%     3.85 15.50 29.8 47.9 69.8  95.7 125.6  160  197   239   285   335
93%     3.29 14.51 28.5 46.3 67.9  93.6 123.2  157  194   236   282   331
90%     2.71 13.43 27.1 44.5 65.8  91.1 120.4  154  191   232   277   327
85%     2.08 12.15 25.3 42.3 63.2  88.1 116.9  150  187   227   272   321
80%     1.64 11.19 24.0 40.7 61.2  85.7 114.2  147  183   224   268   317
70%     1.07  9.75 22.0 38.0 58.0  82.0 110.0  142  178   218   262   310
50%     0.45  7.68 18.9 34.0 53.1  76.2 103.2  134  169   208   251   298
30%     0.15  5.96 16.2 30.4 48.5  70.7  96.8  127  161   199   241   287
10%     0.02  4.04 12.8 25.7 42.5  63.3  88.1  117  150   187   227   272

Case 4: Trend
        [,1] [,2] [,3] [,4]  [,5]  [,6] [,7] [,8] [,9] [,10] [,11] [,12]
99.99% 27.39 44.4 64.6 90.0 117.2 150.2  186  226  271   319   372   428
99.9%  22.07 38.1 57.4 81.0 108.1 139.4  175  214  258   305   356   412
99%    16.57 31.2 49.4 71.5  97.6 127.7  162  200  242   288   338   392
98%    14.86 29.0 46.7 68.4  94.0 123.6  157  195  236   282   332   385
97%    13.85 27.6 45.1 66.4  91.8 121.0  154  192  233   278   328   381
96%    13.11 26.7 43.9 65.0  90.1 119.2  152  189  230   275   325   378
95%    12.54 25.9 42.9 63.9  88.8 117.7  151  187  228   273   322   375
93%    11.65 24.7 41.4 62.1  86.7 115.3  148  184  225   270   318   371
90%    10.67 23.3 39.8 60.1  84.4 112.6  145  181  221   266   314   366
85%     9.53 21.7 37.7 57.6  81.5 109.3  141  177  217   261   309   360
80%     8.70 20.5 36.2 55.7  79.2 106.8  138  174  213   257   304   356
70%     7.45 18.7 33.8 52.8  75.7 102.7  134  169  207   250   297   348
50%     5.70 15.9 30.0 48.1  70.2  96.2  126  160  198   240   286   336
30%     4.28 13.5 26.7 43.8  65.0  90.1  119  152  189   231   276   325
10%     2.79 10.5 22.4 38.2  58.0  81.8  110  141  177   217   261   309

